sample	kind	pid	starttime	clock_tick_hz	uptime_seconds	elapsed_seconds	utime	stime	cutime	cstime	own_delta_jiffies	child_delta_jiffies	delta_jiffies	own_cpu_one_core_percent	child_cpu_one_core_percent	cpu_one_core_percent
50	interval	421540	1439147	100	14472.28	1.000000	471	113	133	288	9	18	27	9.000000	18.000000	27.000000
51	interval	421540	1439147	100	14473.27	0.990000	475	113	133	290	4	2	6	4.040404	2.020202	6.060606
52	interval	421540	1439147	100	14474.27	1.000000	480	114	133	291	6	1	7	6.000000	1.000000	7.000000
53	interval	421540	1439147	100	14475.27	1.000000	486	116	134	293	8	3	11	8.000000	3.000000	11.000000
54	interval	421540	1439147	100	14476.28	1.010000	491	117	135	296	6	4	10	5.940594	3.960396	9.900990
55	interval	421540	1439147	100	14477.28	1.000000	496	118	137	303	6	9	15	6.000000	9.000000	15.000000
56	interval	421540	1439147	100	14478.28	1.000000	502	119	137	306	7	3	10	7.000000	3.000000	10.000000
57	interval	421540	1439147	100	14479.28	1.000000	506	120	138	308	5	3	8	5.000000	3.000000	8.000000
58	interval	421540	1439147	100	14480.28	1.000000	511	122	139	308	7	1	8	7.000000	1.000000	8.000000
59	interval	421540	1439147	100	14481.28	1.000000	515	122	139	311	4	3	7	4.000000	3.000000	7.000000
60	interval	421540	1439147	100	14482.28	1.000000	520	124	146	327	7	23	30	7.000000	23.000000	30.000000
